Title,ISBN,Date Published,Author,Author Birth,Author Death,Fiction,Medium,Date Completed,Genre
Anthem,452286352,1953,Ayn Rand,,,1,Paper,,
Atlas Shrugged,451191145,1957,Ayn Rand,,,1,Paper,,Philosophy
Shopcraft as Soulcraft, 0143117467,2009,Michael Crawford,,,0,Paper,,Philosophy
The World Beyond Your Head,374535914,2014,Michael Crawford,,,0,Paper,,Philosophy
The Body Keeps Score,143127748,2014,Bessel van der Kolk,,,0,Paper,,Psychology
The Brain that Changes Itself,143113100,2007,Norman Doige,,,0,Paper,,Psychology
Slaughterhouse 5,385365136,1969,Kurt Vonnegut,,,1,Paper,,
Love Does,1400206316,2012,Bob Goff,,,0,Kindle,Sep-18,Religion
The Three Body Problem,765382032,2006,Liu Cixin,,,1,Paper,,Sci-fi
Expanse I: Leviathan Wakes,,2011,James A Corey,,,1,Audio,Aug-18,Sci-fi
Expanse II: Caliban's War,316129062,2012,James A Corey,,,1,Audio,Aug-18,Sci-fi
Expanse III: Abaddon's Gate,316129070,2013,James A Corey,,,1,Audio,Sep-18,Sci-fi
Expanse IV: Cibola Burn,,2014,James A Corey,,,1,Audio,Sep-18,Sci-fi
Dark Matter,1524763241,2016,Blake Crouch,,,1,,,Sci-fi
Extreme Ownership,1250195772,2015,Jocko,,,0,Audio,Jun-18,
Mere Christianity,,1952,C.S. Lewis,,,0,Kindle,NA,Religion
Gulag Archipellago,,1973,Fyodor Dostoyevsky,,,0,Paper,NA,History / Philosophy
12 Rules For Life,,2018,Jordan Peterson,,,0,,,
Benefit of the Doubt,,2013,Gregory Boyd,,,0,,,
Notes from the Tilt-A-Whirl,,2009,N. D. Wilson,,,0,,,Religion
Scary Close,,2015,Donald Miller,,,0,,,Religion
The Christian Idea Of Man,,1960,Josef Pieper,1904,1997,0,,,
